competidor,grupo,rodada,data_jogo,hora_jogo,time_casa,time_visitante,cidade,placar_casa_previsto,placar_visitante_previsto,arquivo_origem
Gabriel,B,2,2026-06-13,,Catar,Suíça,Santa Clara,1.0,3.0,Gabriel_previsoes.xlsx
Gabriel,B,3,2026-06-18,,Suíça,Bósnia-Herzegovina,Los Angeles,1.0,0.0,Gabriel_previsoes.xlsx
Gabriel,B,4,2026-06-18,,Canadá,Catar,Vancouver,2.0,0.0,Gabriel_previsoes.xlsx
Gabriel,B,5,2026-06-24,,Suíça,Canadá,Vancouver,1.0,0.0,Gabriel_previsoes.xlsx
Gabriel,B,6,2026-06-24,,Bósnia-Herzegovina,Catar,Seattle,1.0,1.0,Gabriel_previsoes.xlsx
Gabriel,C,1,2026-06-13,,Brasil,Marrocos,Nova Jersey,2.0,1.0,Gabriel_previsoes.xlsx
Gabriel,C,2,2026-06-13,,Haiti,Escócia,Boston,1.0,3.0,Gabriel_previsoes.xlsx
Gabriel,C,3,2026-06-19,,Escócia,Marrocos,Boston,0.0,2.0,Gabriel_previsoes.xlsx
Gabriel,C,4,2026-06-19,,Brasil,Haiti,Filadélfia,3.0,0.0,Gabriel_previsoes.xlsx
Gabriel,C,5,2026-06-24,,Marrocos,Haiti,Atlanta,4.0,1.0,Gabriel_previsoes.xlsx
Gabriel,C,6,2026-06-24,,Escócia,Brasil,Miami,1.0,2.0,Gabriel_previsoes.xlsx
Gabriel,D,1,2026-06-12,,Estados Unidos,Paraguai,Los Angeles,2.0,1.0,Gabriel_previsoes.xlsx
Gabriel,D,2,2026-06-14,,Austrália,Turquia,Vancouver,0.0,2.0,Gabriel_previsoes.xlsx
Gabriel,D,3,2026-06-19,,Estados Unidos,Austrália,Seattle,3.0,1.0,Gabriel_previsoes.xlsx
Gabriel,D,4,2026-06-20,,Turquia,Paraguai,São Francisco,2.0,1.0,Gabriel_previsoes.xlsx
Gabriel,D,5,2026-06-25,,Turquia,Estados Unidos,Los Angeles,1.0,1.0,Gabriel_previsoes.xlsx
Gabriel,D,6,2026-06-25,,Paraguai,Austrália,São Francisco,0.0,1.0,Gabriel_previsoes.xlsx
Gabriel,E,1,2026-06-14,,Alemanha,Curaçao,Houston,4.0,0.0,Gabriel_previsoes.xlsx
Gabriel,E,2,2026-06-14,,Costa do Marfim,Equador,Filadélfia,2.0,1.0,Gabriel_previsoes.xlsx
Gabriel,E,3,2026-06-20,,Alemanha,Costa do Marfim,Toronto,2.0,1.0,Gabriel_previsoes.xlsx
Gabriel,E,4,2026-06-20,,Equador,Curaçao,Kansas City,4.0,1.0,Gabriel_previsoes.xlsx
Gabriel,E,5,2026-06-25,,Curaçao,Costa do Marfim,Filadélfia,1.0,3.0,Gabriel_previsoes.xlsx
Gabriel,E,6,2026-06-25,,Equador,Alemanha,Nova Jersey,1.0,1.0,Gabriel_previsoes.xlsx
Gabriel,F,1,2026-06-14,,Holanda,Japão,Dallas,2.0,1.0,Gabriel_previsoes.xlsx
Gabriel,F,2,2026-06-14,,Suécia,Tunísia,Monterrey,3.0,1.0,Gabriel_previsoes.xlsx
Gabriel,F,3,2026-06-20,,Holanda,Suécia,Houston,2.0,1.0,Gabriel_previsoes.xlsx
Gabriel,F,4,2026-06-21,,Tunísia,Japão,Monterrey,1.0,4.0,Gabriel_previsoes.xlsx
Gabriel,F,5,2026-06-25,,Japão,Suécia,Dallas,2.0,1.0,Gabriel_previsoes.xlsx
Gabriel,F,6,2026-06-25,,Tunísia,Holanda,Kansas City,0.0,3.0,Gabriel_previsoes.xlsx
Gabriel,G,1,2026-06-15,,Bélgica,Egito,Seattle,2.0,1.0,Gabriel_previsoes.xlsx
Gabriel,G,2,2026-06-15,,Irã,Nova Zelândia,Los Angeles,1.0,2.0,Gabriel_previsoes.xlsx
Gabriel,G,3,2026-06-21,,Bélgica,Irã,Los Angeles,3.0,1.0,Gabriel_previsoes.xlsx
Gabriel,G,4,2026-06-21,,Nova Zelândia,Egito,Vancouver,1.0,2.0,Gabriel_previsoes.xlsx
Gabriel,G,5,2026-06-27,,Egito,Irã,Seattle,2.0,0.0,Gabriel_previsoes.xlsx
Gabriel,G,6,2026-06-27,,Nova Zelândia,Bélgica,Vancouver,0.0,1.0,Gabriel_previsoes.xlsx
Gabriel,H,1,2026-06-15,,Espanha,Cabo Verde,Atlanta,4.0,1.0,Gabriel_previsoes.xlsx
Gabriel,H,2,2026-06-15,,Arábia Saudita,Uruguai,Miami,1.0,2.0,Gabriel_previsoes.xlsx
Gabriel,H,3,2026-06-21,,Espanha,Arábia Saudita,Atlanta,3.0,1.0,Gabriel_previsoes.xlsx
Gabriel,H,4,2026-06-21,,Uruguai,Cabo Verde,Miami,2.0,0.0,Gabriel_previsoes.xlsx
Gabriel,H,5,2026-06-26,,Cabo Verde,Arábia Saudita,Houston,1.0,3.0,Gabriel_previsoes.xlsx
Gabriel,H,6,2026-06-26,,Uruguai,Espanha,Guadalajara,1.0,2.0,Gabriel_previsoes.xlsx
Gabriel,I,1,2026-06-16,,França,Senegal,Nova Jersey,2.0,1.0,Gabriel_previsoes.xlsx
Gabriel,I,2,2026-06-16,,Iraque,Noruega,Boston,0.0,4.0,Gabriel_previsoes.xlsx
Gabriel,I,3,2026-06-22,,França,Iraque,Filadélfia,5.0,0.0,Gabriel_previsoes.xlsx
Gabriel,I,4,2026-06-22,,Noruega,Senegal,Nova Jersey,1.0,1.0,Gabriel_previsoes.xlsx
Gabriel,I,5,2026-06-26,,Noruega,França,Boston,1.0,2.0,Gabriel_previsoes.xlsx
Gabriel,I,6,2026-06-26,,Senegal,Iraque,Toronto,3.0,0.0,Gabriel_previsoes.xlsx
Gabriel,J,1,2026-06-16,,Argentina,Argélia,Kansas City,3.0,1.0,Gabriel_previsoes.xlsx
Gabriel,J,2,2026-06-17,,Áustria,Jordânia,Santa Clara,3.0,1.0,Gabriel_previsoes.xlsx
Gabriel,J,3,2026-06-22,,Argentina,Áustria,Dallas,2.0,0.0,Gabriel_previsoes.xlsx
Gabriel,J,4,2026-06-23,,Jordânia,Argélia,São Francisco,0.0,3.0,Gabriel_previsoes.xlsx
Gabriel,J,5,2026-06-27,,Argélia,Áustria,Kansas City,1.0,0.0,Gabriel_previsoes.xlsx
Gabriel,J,6,2026-06-27,,Jordânia,Argentina,Dallas,0.0,3.0,Gabriel_previsoes.xlsx
Gabriel,K,1,2026-06-17,,Portugal,RD Congo,Houston,2.0,0.0,Gabriel_previsoes.xlsx
Gabriel,K,2,2026-06-17,,Uzbequistão,Colômbia,Cidade do México,0.0,3.0,Gabriel_previsoes.xlsx
Gabriel,K,3,2026-06-23,,Portugal,Uzbequistão,Houston,4.0,1.0,Gabriel_previsoes.xlsx
Gabriel,K,4,2026-06-23,,Colômbia,RD Congo,Guadalajara,2.0,1.0,Gabriel_previsoes.xlsx
Gabriel,K,5,2026-06-27,,Colômbia,Portugal,Miami,1.0,2.0,Gabriel_previsoes.xlsx
Gabriel,K,6,2026-06-27,,RD Congo,Uzbequistão,Atlanta,3.0,1.0,Gabriel_previsoes.xlsx
Gabriel,L,1,2026-06-17,,Inglaterra,Croácia,Dallas,2.0,1.0,Gabriel_previsoes.xlsx
Gabriel,L,2,2026-06-17,,Gana,Panamá,Toronto,3.0,1.0,Gabriel_previsoes.xlsx
Gabriel,L,3,2026-06-23,,Inglaterra,Gana,Boston,3.0,1.0,Gabriel_previsoes.xlsx
Gabriel,L,4,2026-06-23,,Panamá,Croácia,Toronto,0.0,3.0,Gabriel_previsoes.xlsx
Gabriel,L,5,2026-06-27,,Croácia,Gana,Filadélfia,2.0,0.0,Gabriel_previsoes.xlsx
Gabriel,L,6,2026-06-27,,Panamá,Inglaterra,Nova Jersey,2.0,5.0,Gabriel_previsoes.xlsx
Lorenzo,A,1,2026-06-11,,México,África do Sul,Cidade do México,-1.0,-1.0,Lorenzo_previsoes.xlsx
Lorenzo,A,2,2026-06-11,,Coreia do Sul,República Tcheca,Guadalajara,-1.0,-1.0,Lorenzo_previsoes.xlsx
Lorenzo,A,3,2026-06-18,,República Tcheca,África do Sul,Atlanta,,,Lorenzo_previsoes.xlsx
Lorenzo,A,4,2026-06-18,,México,Coreia do Sul,Guadalajara,,,Lorenzo_previsoes.xlsx
Lorenzo,A,5,2026-06-24,,República Tcheca,México,Cidade do México,,,Lorenzo_previsoes.xlsx
Lorenzo,A,6,2026-06-24,,África do Sul,Coreia do Sul,Monterrey,,,Lorenzo_previsoes.xlsx
Lorenzo,B,1,2026-06-12,,Canadá,Bósnia-Herzegovina,Toronto,100.0,99.0,Lorenzo_previsoes.xlsx
Lorenzo,B,2,2026-06-13,,Catar,Suíça,Santa Clara,1.0,3.0,Lorenzo_previsoes.xlsx
Lorenzo,B,3,2026-06-18,,Suíça,Bósnia-Herzegovina,Los Angeles,,,Lorenzo_previsoes.xlsx
Lorenzo,B,4,2026-06-18,,Canadá,Catar,Vancouver,,,Lorenzo_previsoes.xlsx
Lorenzo,B,5,2026-06-24,,Suíça,Canadá,Vancouver,,,Lorenzo_previsoes.xlsx
Lorenzo,B,6,2026-06-24,,Bósnia-Herzegovina,Catar,Seattle,,,Lorenzo_previsoes.xlsx
Lorenzo,C,1,2026-06-13,,Brasil,Marrocos,Nova Jersey,1.0,2.0,Lorenzo_previsoes.xlsx
Lorenzo,C,2,2026-06-13,,Haiti,Escócia,Boston,1.0,3.0,Lorenzo_previsoes.xlsx
Lorenzo,C,3,2026-06-19,,Escócia,Marrocos,Boston,,,Lorenzo_previsoes.xlsx
Lorenzo,C,4,2026-06-19,,Brasil,Haiti,Filadélfia,,,Lorenzo_previsoes.xlsx
Lorenzo,C,5,2026-06-24,,Marrocos,Haiti,Atlanta,,,Lorenzo_previsoes.xlsx
Lorenzo,C,6,2026-06-24,,Escócia,Brasil,Miami,,,Lorenzo_previsoes.xlsx
Lorenzo,D,1,2026-06-12,,Estados Unidos,Paraguai,Los Angeles,1.0,2.0,Lorenzo_previsoes.xlsx
Lorenzo,D,2,2026-06-14,,Austrália,Turquia,Vancouver,1.0,4.0,Lorenzo_previsoes.xlsx
Lorenzo,D,3,2026-06-19,,Estados Unidos,Austrália,Seattle,,,Lorenzo_previsoes.xlsx
Lorenzo,D,4,2026-06-20,,Turquia,Paraguai,São Francisco,,,Lorenzo_previsoes.xlsx
Lorenzo,D,5,2026-06-25,,Turquia,Estados Unidos,Los Angeles,,,Lorenzo_previsoes.xlsx
Lorenzo,D,6,2026-06-25,,Paraguai,Austrália,São Francisco,,,Lorenzo_previsoes.xlsx
Lorenzo,E,1,2026-06-14,,Alemanha,Curaçao,Houston,4.0,0.0,Lorenzo_previsoes.xlsx
Lorenzo,E,2,2026-06-14,,Costa do Marfim,Equador,Filadélfia,1.0,2.0,Lorenzo_previsoes.xlsx
Lorenzo,E,3,2026-06-20,,Alemanha,Costa do Marfim,Toronto,,,Lorenzo_previsoes.xlsx
Lorenzo,E,4,2026-06-20,,Equador,Curaçao,Kansas City,,,Lorenzo_previsoes.xlsx
Lorenzo,E,5,2026-06-25,,Curaçao,Costa do Marfim,Filadélfia,,,Lorenzo_previsoes.xlsx
Lorenzo,E,6,2026-06-25,,Equador,Alemanha,Nova Jersey,,,Lorenzo_previsoes.xlsx
Lorenzo,F,1,2026-06-14,,Holanda,Japão,Dallas,3.0,1.0,Lorenzo_previsoes.xlsx
Lorenzo,F,2,2026-06-14,,Suécia,Tunísia,Monterrey,2.0,1.0,Lorenzo_previsoes.xlsx
Lorenzo,F,3,2026-06-20,,Holanda,Suécia,Houston,,,Lorenzo_previsoes.xlsx
Lorenzo,F,4,2026-06-21,,Tunísia,Japão,Monterrey,,,Lorenzo_previsoes.xlsx
